,year,hood_id,neighborhood,district,type,frequency
282,2014,10331,Osloer Straße,Mitte,robbery,300
283,2014,10332,Brunnenstraße Nord,Mitte,robbery,295
284,2014,10441,Parkviertel,Mitte,robbery,206
285,2014,10442,Wedding Zentrum,Mitte,robbery,238
286,2014,20101,Südliche Friedrichstadt,FriedrichshainKreuzberg,robbery,298
287,2014,20202,Tempelhofer Vorstadt,FriedrichshainKreuzberg,robbery,204
288,2014,20303,nördliche Luisenstadt,FriedrichshainKreuzberg,robbery,554
289,2014,20304,südliche Luisenstadt,FriedrichshainKreuzberg,robbery,644
290,2014,20405,KarlMarxAlleeNord,FriedrichshainKreuzberg,robbery,131
291,2014,20407,KarlMarxAlleeSüd,FriedrichshainKreuzberg,robbery,371
292,2014,20506,Frankfurter Allee Nord,FriedrichshainKreuzberg,robbery,57
293,2014,20508,Frankfurter Allee Süd FK,FriedrichshainKreuzberg,robbery,335
294,2014,30101,Buch,Pankow,robbery,42
295,2014,30202,Blankenfelde/Niederschönhausen,Pankow,robbery,27
296,2014,30203,Buchholz,Pankow,robbery,12
297,2014,30304,Karow,Pankow,robbery,21
298,2014,30307,Blankenburg/Heinersdorf/Märchenland,Pankow,robbery,56
299,2014,30405,Schönholz/Wilhelmsruh/Rosenthal,Pankow,robbery,52
300,2014,30406,Pankow Zentrum,Pankow,robbery,103
301,2014,30408,Pankow Süd,Pankow,robbery,78
302,2014,30509,Weißensee,Pankow,robbery,81
303,2014,30510,Weißensee Ost,Pankow,robbery,33
304,2014,30611,Prenzlauer Berg Nordwest,Pankow,robbery,152
305,2014,30612,Prenzlauer Berg Nord,Pankow,robbery,117
306,2014,30613,Helmholtzplatz,Pankow,robbery,45
307,2014,30614,Prenzlauer Berg Ost,Pankow,robbery,120
308,2014,30715,Prenzlauer Berg Südwest,Pankow,robbery,96
309,2014,30716,Prenzlauer Berg Süd,Pankow,robbery,41
310,2014,40101,CharlottenburgNord,CharlottenburgWilmersdorf,robbery,253
311,2014,40202,Heerstrasse,CharlottenburgWilmersdorf,robbery,127
312,2014,40203,Westend,CharlottenburgWilmersdorf,robbery,134
313,2014,40304,Schloß Charlottenburg,CharlottenburgWilmersdorf,robbery,127
314,2014,40305,Mierendorffplatz,CharlottenburgWilmersdorf,robbery,278
315,2014,40306,OttoSuhrAllee,CharlottenburgWilmersdorf,robbery,199
316,2014,40307,Neue Kantstraße,CharlottenburgWilmersdorf,robbery,154
317,2014,40308,Kantstraße,CharlottenburgWilmersdorf,robbery,260
318,2014,40309,Kurfürstendamm,CharlottenburgWilmersdorf,robbery,736
319,2014,40310,Halensee,CharlottenburgWilmersdorf,robbery,111
320,2014,40411,Grunewald,CharlottenburgWilmersdorf,robbery,71
321,2014,40412,Schmargendorf,CharlottenburgWilmersdorf,robbery,85
322,2014,40413,Wiesbadener Straße,CharlottenburgWilmersdorf,robbery,39
323,2014,40514,Düsseldorfer Straße,CharlottenburgWilmersdorf,robbery,195
324,2014,40515,Barstraße,CharlottenburgWilmersdorf,robbery,132
325,2014,40516,Volkspark Wilmersdorf,CharlottenburgWilmersdorf,robbery,169
326,2014,40617,Forst Grunewald,CharlottenburgWilmersdorf,robbery,0
327,2014,50101,Hakenfelde,Spandau,robbery,74
328,2014,50102,Falkenhagener Feld,Spandau,robbery,92
329,2014,50103,Spandau Mitte,Spandau,robbery,290
330,2014,50204,Brunsbütteler Damm,Spandau,robbery,69
331,2014,50205,Heerstraße Nord,Spandau,robbery,125
332,2014,50206,Wilhelmstadt,Spandau,robbery,185
333,2014,50307,Haselhorst,Spandau,robbery,126
334,2014,50308,Siemensstadt,Spandau,robbery,196
335,2014,50409,Gatow/Kladow,Spandau,robbery,37
336,2014,60101,Schloßstr.,SteglitzZehlendorf,robbery,197
337,2014,60102,Albrechtstr.,SteglitzZehlendorf,robbery,82
338,2014,60203,Lankwitz,SteglitzZehlendorf,robbery,62
339,2014,60204,Ostpreußendamm,SteglitzZehlendorf,robbery,43
340,2014,60305,Teltower Damm,SteglitzZehlendorf,robbery,76
341,2014,60306,Drakestr.,SteglitzZehlendorf,robbery,19
342,2014,60407,Zehlendorf Südwest,SteglitzZehlendorf,robbery,70
343,2014,60408,Zehlendorf Nord,SteglitzZehlendorf,robbery,51
344,2014,70101,SchönebergNord,TempelhofSchöneberg,robbery,357
345,2014,70202,SchönebergSüd,TempelhofSchöneberg,robbery,117
346,2014,70303,Friedenau,TempelhofSchöneberg,robbery,96
347,2014,70404,Tempelhof,TempelhofSchöneberg,robbery,131
348,2014,70505,Mariendorf,TempelhofSchöneberg,robbery,93
349,2014,70606,Marienfelde,TempelhofSchöneberg,robbery,88
350,2014,70707,Lichtenrade,TempelhofSchöneberg,robbery,57
351,2014,80101,Schillerpromenade,Neukölln,robbery,222
352,2014,80102,Neuköllner Mitte/Zentrum,Neukölln,robbery,241
353,2014,80103,Reuterstraße,Neukölln,robbery,176
354,2014,80104,Rixdorf,Neukölln,robbery,220
355,2014,80105,Köllnische Heide,Neukölln,robbery,171
356,2014,80206,Britz,Neukölln,robbery,175
357,2014,80207,Buckow,Neukölln,robbery,64
358,2014,80308,Gropiusstadt,Neukölln,robbery,151
359,2014,80409,Buckow Nord,Neukölln,robbery,96
360,2014,80410,Rudow,Neukölln,robbery,76
361,2014,90101,AltTreptow,TreptowKöpenick,robbery,400
362,2014,90102,Plänterwald,TreptowKöpenick,robbery,101
363,2014,90103,Baumschulenweg,TreptowKöpenick,robbery,108
364,2014,90104,Johannisthal,TreptowKöpenick,robbery,81
365,2014,90205,Oberschöneweide,TreptowKöpenick,robbery,60
366,2014,90206,Niederschöneweide,TreptowKöpenick,robbery,122
367,2014,90207,Adlershof,TreptowKöpenick,robbery,82
368,2014,90208,Köllnische Vorstadt/Spindlersfeld,TreptowKöpenick,robbery,50
369,2014,90309,Altglienicke,TreptowKöpenick,robbery,35
370,2014,90310,Bohnsdorf,TreptowKöpenick,robbery,58
371,2014,90311,Grünau,TreptowKöpenick,robbery,90
372,2014,90312,Schmöckwitz/Karolinenhof/Rauchfangswerder,TreptowKöpenick,robbery,24
373,2014,90413,KöpenickSüd,TreptowKöpenick,robbery,26
374,2014,90414,AllendeViertel,TreptowKöpenick,robbery,32
375,2014,90415,AltstadtKietz,TreptowKöpenick,robbery,28
376,2014,90416,Müggelheim,TreptowKöpenick,robbery,0
377,2014,90517,Friedrichshagen,TreptowKöpenick,robbery,11
378,2014,90518,Rahnsdorf/Hessenwinkel,TreptowKöpenick,robbery,22
379,2014,90519,Dammvorstadt,TreptowKöpenick,robbery,142
380,2014,90520,KöpenickNord,TreptowKöpenick,robbery,24
381,2014,100101,MarzahnNord,MarzahnHellersdorf,robbery,138
382,2014,100102,MarzahnMitte,MarzahnHellersdorf,robbery,144
383,2014,100103,MarzahnSüd,MarzahnHellersdorf,robbery,149
384,2014,100204,HellersdorfNord,MarzahnHellersdorf,robbery,95
385,2014,100205,HellersdorfOst,MarzahnHellersdorf,robbery,98
386,2014,100206,HellersdorfSüd,MarzahnHellersdorf,robbery,69
387,2014,100307,Biesdorf,MarzahnHellersdorf,robbery,31
388,2014,100408,Kaulsdorf,MarzahnHellersdorf,robbery,27
389,2014,100409,Mahlsdorf,MarzahnHellersdorf,robbery,22
390,2014,110101,"Malchow, Wartenberg und Falkenberg",Lichtenberg,robbery,23
391,2014,110102,NeuHohenschönhausen Nord,Lichtenberg,robbery,68
392,2014,110103,NeuHohenschönhausen Süd,Lichtenberg,robbery,120
393,2014,110204,AltHohenschönhausen Nord,Lichtenberg,robbery,74
394,2014,110205,AltHohenschönhausen Süd,Lichtenberg,robbery,71
395,2014,110306,Fennpfuhl,Lichtenberg,robbery,68
396,2014,110307,AltLichtenberg,Lichtenberg,robbery,153
397,2014,110308,Frankfurter Allee Süd,Lichtenberg,robbery,150
398,2014,110409,Neu Lichtenberg,Lichtenberg,robbery,69
399,2014,110410,Friedrichsfelde Nord,Lichtenberg,robbery,139
400,2014,110411,Friedrichsfelde Süd,Lichtenberg,robbery,57
401,2014,110512,Rummelsburger Bucht,Lichtenberg,robbery,59
402,2014,110513,Karlshorst,Lichtenberg,robbery,29
403,2014,121031,Ost 1  Reginhardstr.,Reinickendorf,robbery,121
404,2014,121032,Ost 2  AltReinickendorf,Reinickendorf,robbery,200
405,2014,122141,West 1  TegelSüd/Flughafensee,Reinickendorf,robbery,62
406,2014,122144,West 4  AugusteViktoriaAllee,Reinickendorf,robbery,157
407,2014,122145,West 5  Tegel/Tegeler Forst,Reinickendorf,robbery,229
408,2014,122242,West 2  Heiligensee/Konradshöhe,Reinickendorf,robbery,13
